team,name,nation,position,age,play,start,mplay,goal,assist,PK,PKatt,CrdY,CrdR,perG,perA,G+A,G-PK,G+A-PK,xG,npxG,xA,xG,xA,xG+xA,npxG,npxG+xA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Ferland Mendy\Ferland-Mendy,fr FRA,DF,25,3,3,270,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.2,0.04,0.08,0.12,0.04,0.12,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Toni Kroos\Toni-Kroos,de GER,MF,30,3,3,211,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,1.1,0.05,0.47,0.52,0.05,0.52,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Dani Carvajal\Dani-Carvajal,es ESP,DF,28,3,2,214,0,0,0,0,2,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.01,0.01,0.03,0.01,0.03,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Marcelo\Marcelo,br BRA,DF,32,2,2,180,0,0,0,0,1,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.0,0.06,0.02,0.08,0.06,0.08,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Nacho\Nacho,es ESP,DF,30,2,2,180,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.0,0.00,0.02,0.02,0.00,0.02,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Isco\Isco,es ESP,MF,28,4,2,148,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.4,0.4,0.2,0.25,0.15,0.39,0.25,0.39,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Luka Jović\Luka-Jovic,rs SRB,FW,22,3,2,141,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.6,0.6,0.1,0.38,0.08,0.46,0.38,0.46,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Martin Ødegaard\Martin-Odegaard,no NOR,MF,21,3,2,115,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.0,0.0,0.2,0.02,0.13,0.15,0.02,0.15,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Marco Asensio\Marco-Asensio,es ESP,FWMF,24,3,1,147,0,0,0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.1,0.1,0.5,0.03,0.29,0.32,0.03,0.32,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Realmadrid,Rodrygo\Rodrygo,br BRA,FW,19,2,1,91,0,1,0,0,0,0,0.00,0.99,0.99,0.00,0.99,0.0,0.0,0.5,0.00,0.45,0.45,0.00,0.45,Matches,,,,,,,,,,,,,,,,,,,,,,,,,,,,
